spot,spotName,date,Ta,Rn(mm),Ws(m/s),Wd(16D),Hm(%),Pa(hPa),Ps(hPa),Ss(hr),Gsr(MJ/m2),Snow(cm),DpthFhsc(cm),Tca(10),CloudForm,Ts
108,Seoul,2021-01-01 0:00,-8.3,,1.8,250,66,1016.4,1027.7,,,,,0,,-6.8
108,Seoul,2021-01-01 1:00,-8.7,,2.4,270,68,1016.4,1027.7,,,,,0,,-6.9
108,Seoul,2021-01-01 2:00,-9.1,,1.6,270,69,1016.2,1027.5,,,,,0,,-7.1
108,Seoul,2021-01-01 3:00,-9.3,,1.1,250,70,1016.8,1028.1,,,,,0,,-7.3
108,Seoul,2021-01-01 4:00,-9.3,,0.3,0,71,1016.2,1027.5,,,,,0,,-7.5
108,Seoul,2021-01-01 5:00,-9.7,,1.9,20,72,1015.6,1026.9,,,,,0,,-7.6
108,Seoul,2021-01-01 6:00,-9.7,,2,50,75,1015.4,1026.7,,,,,7,Sc,-7.4
108,Seoul,2021-01-01 7:00,-9.3,,1.6,50,71,1015.6,1026.9,,,,,6,Sc,-6.8
108,Seoul,2021-01-01 8:00,-9.3,,1.6,50,72,1015.8,1027.1,0,0,,,1,Sc,-7.3
108,Seoul,2021-01-01 9:00,-8.6,,2.5,20,74,1016.1,1027.4,0.6,0.27,,,1,Sc,-6.2
108,Seoul,2021-01-01 10:00,-6.1,,1.1,50,68,1016.4,1027.6,1,0.76,,,1,Sc,-3.4
108,Seoul,2021-01-01 11:00,-3.2,,1.7,70,55,1015.5,1026.5,1,1.4,,,0,,-0.5
108,Seoul,2021-01-01 12:00,-1.1,,2.1,200,52,1014.8,1025.7,0.9,1.74,,,8,Sc,1.5
108,Seoul,2021-01-01 13:00,-0.2,,3,250,56,1014,1024.9,0.7,1.61,,,5,Sc,3.3
108,Seoul,2021-01-01 14:00,1.4,,1.6,200,53,1013.2,1024,0.8,1.61,,,1,Sc,4.3
108,Seoul,2021-01-01 15:00,1.2,,2.6,270,52,1013.3,1024.1,1,1.43,,,4,ScAcCi,1.4
108,Seoul,2021-01-01 16:00,-0.2,,3.8,270,58,1013.6,1024.5,0.1,0.42,,,3,Sc,-0.2
108,Seoul,2021-01-01 17:00,-0.7,,1.8,250,61,1013.6,1024.5,0.4,0.28,,,3,Sc,-0.4
108,Seoul,2021-01-01 18:00,-1.4,,2.1,250,68,1013.6,1024.5,0,0.02,,,3,Sc,-0.9
108,Seoul,2021-01-01 19:00,-1.5,,2.4,250,70,1013.6,1024.5,,,,,1,,-1.2
108,Seoul,2021-01-01 20:00,-1.6,,2.5,270,73,1013.8,1024.7,,,,,8,,-1.5
108,Seoul,2021-01-01 21:00,-1.6,,2.3,270,66,1014.3,1025.2,,,,,8,Sc,-1.4
108,Seoul,2021-01-01 22:00,-1.8,,2.5,270,63,1014.7,1025.7,,,,,8,,-1.8
108,Seoul,2021-01-01 23:00,-2.6,,1.9,250,55,1014.9,1025.9,,,,,0,,-2.8
108,Seoul,2021-01-02 0:00,-3.4,,2.5,320,55,1015,1026,,,,,0,,-3.8
108,Seoul,2021-01-02 1:00,-4.1,,2.3,320,39,1015.1,1026.2,,,,,0,,-4.7
108,Seoul,2021-01-02 2:00,-5,,2.7,270,42,1015.5,1026.6,,,,,0,,-5.3
108,Seoul,2021-01-02 3:00,-5.8,,1.9,270,45,1015.8,1026.9,,,,,0,,-5.9
108,Seoul,2021-01-02 4:00,-6.3,,1.7,290,45,1015.8,1027,,,,,0,,-6.4
108,Seoul,2021-01-02 5:00,-6.6,,1.1,320,40,1016,1027.2,,,,,0,,-6.9
108,Seoul,2021-01-02 6:00,-6.6,,2.7,320,35,1016.2,1027.4,,,,,0,,-7.2
108,Seoul,2021-01-02 7:00,-7.4,,1.5,290,38,1016.6,1027.8,,,,,0,,-7.5
108,Seoul,2021-01-02 8:00,-8.3,,1.3,270,41,1017.1,1028.4,0,0,,,0,,-7.8
108,Seoul,2021-01-02 9:00,-7.6,,2,270,39,1017.9,1029.1,0.9,0.3,,,0,,-6.7
108,Seoul,2021-01-02 10:00,-6,,2.3,320,35,1018.6,1029.8,1,0.88,,,0,,-3.9
108,Seoul,2021-01-02 11:00,-5.3,,3.2,290,32,1019,1030.1,1,1.46,,,0,,-0.7
108,Seoul,2021-01-02 12:00,-3.2,,3,270,33,1018.7,1029.8,1,1.81,,,0,,1.2
108,Seoul,2021-01-02 13:00,-2.3,,2.5,290,31,1018.3,1029.3,1,1.95,,,0,,3.6
108,Seoul,2021-01-02 14:00,-1.5,,4.4,250,31,1018.1,1029.1,1,1.87,,,0,,3.5
108,Seoul,2021-01-02 15:00,-2.3,,5.2,290,33,1017.9,1028.9,1,1.57,,,0,,1.6
108,Seoul,2021-01-02 16:00,-1.7,,3.4,290,34,1018.2,1029.2,1,1.05,,,0,,-0.3
108,Seoul,2021-01-02 17:00,-2.3,,4.5,270,35,1018.9,1029.9,1,0.41,,,0,,-1.1
108,Seoul,2021-01-02 18:00,-3.2,,2.7,250,39,1019.5,1030.6,0.1,0.04,,,0,,-2.3
108,Seoul,2021-01-02 19:00,-3.8,,2.8,270,50,1020,1031.1,,,,,0,,-3
108,Seoul,2021-01-02 20:00,-4.2,,2.9,320,41,1020.5,1031.6,,,,,0,,-3.8
108,Seoul,2021-01-02 21:00,-5,,2.3,290,39,1020.4,1031.6,,,,,0,,-4.6
108,Seoul,2021-01-02 22:00,-5.5,,2.8,320,42,1020.6,1031.8,,,,,0,,-5.4
108,Seoul,2021-01-02 23:00,-6.1,,1.9,270,45,1020.8,1032,,,,,0,,-6
108,Seoul,2021-01-03 0:00,-6.6,,3.8,290,45,1021.5,1032.7,,,,,0,,-6.4
108,Seoul,2021-01-03 1:00,-7.3,,2.4,270,48,1022,1033.3,,,,,0,,-6.9
108,Seoul,2021-01-03 2:00,-7.7,,2,270,50,1022.6,1033.9,,,,,0,,-7.2
108,Seoul,2021-01-03 3:00,-8,,2.2,250,51,1022.8,1034.1,,,,,0,,-7.4
108,Seoul,2021-01-03 4:00,-8.3,,1.6,270,52,1022.9,1034.2,,,,,0,,-7.7
108,Seoul,2021-01-03 5:00,-8.8,,1,270,53,1022.6,1033.9,,,,,0,,-8
108,Seoul,2021-01-03 6:00,-9,,1.3,270,53,1023.4,1034.8,,,,,0,,-8.1
108,Seoul,2021-01-03 7:00,-8.7,,1.1,290,54,1023.6,1035,,,,,0,,-8.3
108,Seoul,2021-01-03 8:00,-8.7,,0.9,230,58,1023.7,1035.1,0,0,,,0,,-8.2
108,Seoul,2021-01-03 9:00,-7.6,,1.8,250,57,1024.1,1035.4,0.8,0.28,,,0,,-6.9
108,Seoul,2021-01-03 10:00,-5.7,,2.6,290,46,1024,1035.2,1,0.86,,,0,,-4.1
108,Seoul,2021-01-03 11:00,-4.2,,1.9,270,39,1023.6,1034.8,1,1.45,,,0,,-0.5
108,Seoul,2021-01-03 12:00,-3.1,,2.9,270,33,1023.2,1034.3,1,1.78,,,7,Sc,1.6
108,Seoul,2021-01-03 13:00,-2.4,,3.1,290,30,1022.9,1034,0.9,1.62,,,7,Sc,1.1
108,Seoul,2021-01-03 14:00,-2.3,,3.6,290,30,1022.7,1033.8,0.3,1.21,,,8,ScCi,1.6
108,Seoul,2021-01-03 15:00,-2.4,,3.7,290,33,1022.2,1033.3,0.2,0.76,,,8,Ci,0
108,Seoul,2021-01-03 16:00,-2.3,,2.5,270,35,1022.1,1033.2,0,0.48,,,9,Ci,-0.5
108,Seoul,2021-01-03 17:00,-2.6,,1.9,270,36,1022.2,1033.3,0.3,0.33,,,6,Ci,-0.8
108,Seoul,2021-01-03 18:00,-3.6,,2.1,270,40,1022.2,1033.3,0,0.03,,,5,Ci,-2.3
108,Seoul,2021-01-03 19:00,-4.4,,1.1,200,41,1022.4,1033.6,,,,,0,,-3.5
108,Seoul,2021-01-03 20:00,-4.9,,1.4,290,43,1023,1034.2,,,,,0,,-4.6
108,Seoul,2021-01-03 21:00,-5.3,,0.7,270,45,1023.3,1034.5,,,,,3,Sc,-5.4
108,Seoul,2021-01-03 22:00,-5.9,,1.1,290,50,1023.1,1034.3,,,,,0,,-6.1
108,Seoul,2021-01-03 23:00,-5.3,,3.2,340,44,1022.8,1034,,,,,0,,-6.4
108,Seoul,2021-01-04 0:00,-6.2,,0.5,290,48,1023.1,1034.3,,,,,0,,-7
108,Seoul,2021-01-04 1:00,-6.5,,1.3,340,49,1023.2,1034.4,,,,,0,,-7.3
108,Seoul,2021-01-04 2:00,-7,,0.5,250,51,1023.3,1034.6,,,,,0,,-7.6
108,Seoul,2021-01-04 3:00,-7.1,,0.9,290,54,1023.2,1034.5,,,,,0,,-7.8
108,Seoul,2021-01-04 4:00,-7.4,,1.3,20,56,1023,1034.3,,,,,0,,-7.9
108,Seoul,2021-01-04 5:00,-8.1,,1.7,50,52,1023,1034.3,,,,,0,,-8.1
108,Seoul,2021-01-04 6:00,-8.1,,2.2,70,47,1022.3,1033.6,,,,,0,,-8
108,Seoul,2021-01-04 7:00,-8.3,,2.4,50,51,1022.2,1033.5,,,,,0,,-8
108,Seoul,2021-01-04 8:00,-8.1,,2.3,50,48,1022.5,1033.8,0,0,,,0,,-7.8
108,Seoul,2021-01-04 9:00,-7.6,,2.5,50,48,1022.6,1033.9,0.3,0.2,,,4,Sc,-6.1
108,Seoul,2021-01-04 10:00,-5.6,,1.3,50,43,1022.9,1034.1,0.8,0.56,,,0,,-3.3
108,Seoul,2021-01-04 11:00,-3,,2.4,50,40,1022.4,1033.5,1,1.17,,,2,Sc,-0.2
108,Seoul,2021-01-04 12:00,-1.5,,2.4,50,40,1021.2,1032.2,1,1.59,,,0,,2.1
108,Seoul,2021-01-04 13:00,-0.6,,1.9,90,41,1020,1031,1,1.67,,,0,,3.5
108,Seoul,2021-01-04 14:00,-0.4,,1.6,50,40,1019.2,1030.1,0.4,1.05,,,6,Sc,2.5
108,Seoul,2021-01-04 15:00,0,,1.6,360,40,1019.2,1030.1,0,0.58,,,9,Sc,1.4
108,Seoul,2021-01-04 16:00,0.2,,1.3,200,42,1018.9,1029.8,0.1,0.39,,,9,Sc,0.5
108,Seoul,2021-01-04 17:00,-0.3,,1.2,270,51,1018.5,1029.4,0,0.2,,,8,Sc,-0.2
108,Seoul,2021-01-04 18:00,-0.9,,1,50,52,1018.1,1029.1,0,0.03,,,7,Sc,-0.7
108,Seoul,2021-01-04 19:00,-0.9,,1.8,70,49,1017.8,1028.8,,,,,10,,-0.8
108,Seoul,2021-01-04 20:00,-0.7,,0.7,200,51,1017.8,1028.7,,,,,10,,-0.9
108,Seoul,2021-01-04 21:00,-0.5,,2.3,90,57,1017.4,1028.3,,,,,9,Sc,-0.9
108,Seoul,2021-01-04 22:00,-0.6,,2.6,320,54,1017.8,1028.7,,,,,9,Sc,-1
108,Seoul,2021-01-04 23:00,-1.3,,1,50,69,1018,1029,,,0,,9,Sc,-1.2
108,Seoul,2021-01-05 0:00,-2.1,0,2.4,50,73,1018.1,1029.1,,,0,0,9,,-1.5
108,Seoul,2021-01-05 1:00,-2.5,,0.5,110,75,1018.3,1029.3,,,0,,9,Sc,-1.6
108,Seoul,2021-01-05 2:00,-2.5,,1.4,340,77,1018.3,1029.3,,,0,,9,Sc,-1.7
108,Seoul,2021-01-05 3:00,-2.5,0,1,250,76,1017.9,1028.9,,,0,0,9,Sc,-2.1
108,Seoul,2021-01-05 4:00,-2.7,,2.2,290,78,1018,1029,,,0,,9,Sc,-2.5
108,Seoul,2021-01-05 5:00,-3.9,,2.7,320,82,1018.2,1029.3,,,0,,4,Sc,-3.7
108,Seoul,2021-01-05 6:00,-4.2,0,3.7,320,80,1018.6,1029.7,,,0,,8,Sc,-3.4
108,Seoul,2021-01-05 7:00,-4.8,,2.5,290,77,1019.7,1030.8,,,0,,3,Sc,-4.3
108,Seoul,2021-01-05 8:00,-5.6,,3.1,270,75,1020.8,1032,0,0.01,0,,3,Sc,-4.9
108,Seoul,2021-01-05 9:00,-5.8,0,3.3,320,67,1021.4,1032.6,0.8,0.28,0,,0,,-4.6
108,Seoul,2021-01-05 10:00,-5.2,,3.9,290,46,1021.6,1032.8,1,0.82,0,,0,,-3.2
108,Seoul,2021-01-05 11:00,-4.6,,4.4,290,36,1021.7,1032.9,1,1.45,0,,2,Ci,-0.3
108,Seoul,2021-01-05 12:00,-4.6,,4.4,290,33,1020.8,1031.9,1,1.82,,,1,Ci,2.5
108,Seoul,2021-01-05 13:00,-4.1,,4.8,290,34,1019.7,1030.8,1,1.98,,,1,Ci,3.3
108,Seoul,2021-01-05 14:00,-4.2,,4.3,290,33,1018.8,1029.9,0.9,1.69,,,2,Ci,2.7
108,Seoul,2021-01-05 15:00,-3.8,,4.2,250,35,1018.7,1029.8,0.7,0.74,,,3,Ci,0.7
108,Seoul,2021-01-05 16:00,-3.6,,3.3,290,33,1018.4,1029.5,1,1.15,,,0,,-0.7
108,Seoul,2021-01-05 17:00,-4.5,,3.6,270,31,1018.1,1029.2,1,0.48,,,0,,-2.4
108,Seoul,2021-01-05 18:00,-5.7,,2.8,320,34,1018.4,1029.6,0.2,0.04,,,0,,-4.1
108,Seoul,2021-01-05 19:00,-6.5,,1.9,290,39,1019.3,1030.5,,,,,0,,-5.1
108,Seoul,2021-01-05 20:00,-7.1,,3.6,340,41,1019.3,1030.5,,,,,0,,-6
108,Seoul,2021-01-05 21:00,-7.6,,4.9,320,43,1019.2,1030.5,,,,,0,,-6.7
108,Seoul,2021-01-05 22:00,-8.5,,2.5,290,51,1018.9,1030.2,,,,,0,,-6.8
108,Seoul,2021-01-05 23:00,-9.5,,0.9,230,53,1018.7,1030,,,,,0,,-7.3
108,Seoul,2021-01-06 0:00,-9.9,,1.8,270,54,1018.8,1030.2,,,,,0,,-7.7
108,Seoul,2021-01-06 1:00,-10.3,,1.8,270,57,1018.5,1029.9,,,,,0,,-8.2
108,Seoul,2021-01-06 2:00,-10.6,,1.9,270,57,1018.4,1029.8,,,,,0,,-8.4
108,Seoul,2021-01-06 3:00,-11.1,,1.7,290,61,1018.5,1029.9,,,,,0,,-8.8
108,Seoul,2021-01-06 4:00,-11.2,,1.3,290,64,1017.8,1029.2,,,,,0,,-9.1
108,Seoul,2021-01-06 5:00,-11.6,,1.3,340,64,1017,1028.4,,,,,0,,-9.4
108,Seoul,2021-01-06 6:00,-11.7,,0.8,290,62,1017,1028.4,,,,,0,,-9.5
108,Seoul,2021-01-06 7:00,-11.9,,2.2,20,61,1016.7,1028.1,,,,,0,,-9.6
108,Seoul,2021-01-06 8:00,-11.7,,2.4,20,64,1016.6,1028,0,0,,,0,,-9.4
108,Seoul,2021-01-06 9:00,-10.7,,1.4,50,62,1017,1028.4,1,0.32,,,0,,-8.6
108,Seoul,2021-01-06 10:00,-8.2,,1.6,200,53,1017.2,1028.5,1,0.84,,,0,,-5.3
108,Seoul,2021-01-06 11:00,-7,,2.4,270,46,1016.3,1027.5,1,1.5,,,0,,-0.4
108,Seoul,2021-01-06 12:00,-6,,2.3,360,37,1014.9,1026,1,1.89,,,0,,3
108,Seoul,2021-01-06 13:00,-4.6,,3,270,30,1013.5,1024.6,1,2.04,,,0,,5.1
108,Seoul,2021-01-06 14:00,-3.6,,3.1,270,26,1011.6,1022.6,1,1.95,,,0,,4.6
108,Seoul,2021-01-06 15:00,-2.3,,1.9,230,26,1011,1021.9,1,1.64,,,0,,3.1
108,Seoul,2021-01-06 16:00,-2.2,,2.9,200,25,1010.5,1021.4,1,1.13,,,0,,-0.6
108,Seoul,2021-01-06 17:00,-3.2,,2.6,180,27,1009.7,1020.7,1,0.44,,,0,,-2.2
108,Seoul,2021-01-06 18:00,-3.7,,2.7,200,28,1008.7,1019.7,0.1,0.03,,,10,ScAs,-2.4
108,Seoul,2021-01-06 19:00,-4.2,,3.4,200,60,1008.3,1019.3,,,,,10,ScAs,-2.5
108,Seoul,2021-01-06 20:00,-5.5,,1.7,160,87,1007,1018,,,2.3,,10,StNs,-2
108,Seoul,2021-01-06 21:00,-5.1,2,2,230,89,1006.7,1017.7,,,3.8,3.8,10,ScAs,-1.7
108,Seoul,2021-01-06 22:00,-4.7,,3.5,250,77,1005.8,1016.8,,,3.7,,9,Sc,-1.8
108,Seoul,2021-01-06 23:00,-5.6,,3.4,250,76,1005.9,1016.9,,,3.7,,9,Sc,-1.8
108,Seoul,2021-01-07 0:00,-8.3,0,6.4,290,72,1008.6,1019.8,,,3.5,0.2,9,,-1.9
108,Seoul,2021-01-07 1:00,-9.6,,4.4,270,75,1009.6,1020.8,,,3.3,,8,,-2.1
108,Seoul,2021-01-07 2:00,-11.6,,5,290,54,1011.4,1022.7,,,2.9,,8,,-2.3
108,Seoul,2021-01-07 3:00,-13.2,,5.6,320,55,1012.6,1024,,,2.7,,0,,-2.6
108,Seoul,2021-01-07 4:00,-14.3,,3.4,290,59,1013,1024.5,,,2.5,,0,,-3.1
108,Seoul,2021-01-07 5:00,-15,,5.6,270,56,1013.4,1024.9,,,2.3,,3,Sc,-3.4
108,Seoul,2021-01-07 6:00,-15.6,,5.5,290,58,1014.3,1025.8,,,2.2,,6,Sc,-3.7
