,spot,spotName,date,Ta,Rn(mm),Ws(m/s),Wd(16D),Hm(%),Pa(hPa),Ps(hPa),Ss(hr),Gsr(MJ/m2),Snow(cm),DpthFhsc(cm),Tca(10),CloudForm,Ts
0,108,Seoul,2021-01-01 0:00,-8.3,0.0,1.8,250.0,66,1016.4,1027.7,,,,,0.0,,-6.8
1,108,Seoul,2021-01-01 1:00,-8.7,0.0,2.4,270.0,68,1016.4,1027.7,,,,,0.0,,-6.9
2,108,Seoul,2021-01-01 2:00,-9.1,0.0,1.6,270.0,69,1016.2,1027.5,,,,,0.0,,-7.1
3,108,Seoul,2021-01-01 3:00,-9.3,0.0,1.1,250.0,70,1016.8,1028.1,,,,,0.0,,-7.3
4,108,Seoul,2021-01-01 4:00,-9.3,0.0,0.3,0.0,71,1016.2,1027.5,,,,,0.0,,-7.5
5,108,Seoul,2021-01-01 5:00,-9.7,0.0,1.9,20.0,72,1015.6,1026.9,,,,,0.0,,-7.6
6,108,Seoul,2021-01-01 6:00,-9.7,0.0,2.0,50.0,75,1015.4,1026.7,,,,,7.0,Sc,-7.4
7,108,Seoul,2021-01-01 7:00,-9.3,0.0,1.6,50.0,71,1015.6,1026.9,,,,,6.0,Sc,-6.8
8,108,Seoul,2021-01-01 8:00,-9.3,0.0,1.6,50.0,72,1015.8,1027.1,0.0,0.0,,,1.0,Sc,-7.3
9,108,Seoul,2021-01-01 9:00,-8.6,0.0,2.5,20.0,74,1016.1,1027.4,0.6,0.27,,,1.0,Sc,-6.2
10,108,Seoul,2021-01-01 10:00,-6.1,0.0,1.1,50.0,68,1016.4,1027.6,1.0,0.76,,,1.0,Sc,-3.4
11,108,Seoul,2021-01-01 11:00,-3.2,0.0,1.7,70.0,55,1015.5,1026.5,1.0,1.4,,,0.0,,-0.5
12,108,Seoul,2021-01-01 12:00,-1.1,0.0,2.1,200.0,52,1014.8,1025.7,0.9,1.74,,,8.0,Sc,1.5
13,108,Seoul,2021-01-01 13:00,-0.2,0.0,3.0,250.0,56,1014.0,1024.9,0.7,1.61,,,5.0,Sc,3.3
